index,class
0,2
1,0
2,9
3,7
4,4
5,6
6,9
7,0
8,2
9,2
10,8
11,8
12,8
13,0
14,1
15,3
16,9
17,3
18,7
19,4
20,5
21,0
22,6
23,9
24,0
25,8
26,0
27,1
28,9
29,4
30,6
31,4
32,6
33,4
34,1
35,5
36,8
37,3
38,7
39,6
40,7
41,8
42,3
43,1
44,8
45,9
46,6
47,9
48,9
49,3
50,9
51,0
52,2
53,7
54,6
55,0
56,2
57,3
58,6
59,6
60,6
61,8
62,0
63,6
64,3
65,6
66,1
67,1
68,4
69,5
70,1
71,2
72,3
73,7
74,7
75,1
76,0
77,2
78,6
79,3
80,5
81,2
82,7
83,8
84,7
85,5
86,8
87,8
88,2
89,3
90,4
91,4
92,9
93,7
94,3
95,2
96,3
97,7
98,9
99,8
100,0
101,8
102,4
103,6
104,8
105,8
106,4
107,7
108,8
109,5
110,3
111,1
112,6
113,9
114,1
115,2
116,2
117,8
118,8
119,1
120,2
121,3
122,2
123,1
124,4
125,6
126,2
127,7
128,7
129,5
130,5
131,3
132,8
133,4
134,9
135,9
136,3
137,0
138,8
139,6
140,2
141,1
142,0
143,2
144,5
145,8
146,5
147,7
148,9
149,6
150,0
151,7
152,0
153,9
154,9
155,7
156,2
157,5
158,3
159,6
160,6
161,7
162,3
163,1
164,3
165,4
166,6
167,4
168,7
169,3
170,0
171,1
172,7
173,5
174,1
175,7
176,3
177,6
178,5
179,0
180,2
181,7
182,3
183,7
184,1
185,3
186,2
187,0
188,9
189,3
190,5
191,7
192,9
193,6
194,1
195,5
196,3
197,8
198,2
199,7
200,6
201,0
202,9
203,4
204,4
205,0
206,4
207,9
208,5
209,8
210,9
211,3
212,5
213,9
214,3
215,5
216,9
217,7
218,2
219,9
220,6
221,0
222,0
223,8
224,5
225,7
226,3
227,5
228,5
229,0
230,2
231,7
232,0
233,0
234,4
235,5
236,7
237,7
238,1
239,8
240,5
241,2
242,7
243,6
244,5
245,4
246,7
247,8
248,3
249,8
250,0
251,4
252,0
253,1
254,0
255,7
256,0
257,6
258,5
259,2
260,0
261,2
262,4
263,2
264,0
265,4
266,3
267,3
268,3
269,9
270,7
271,6
272,4
273,7
274,0
275,9
276,2
277,0
278,5
279,1
280,6
281,3
282,7
283,1
284,3
285,8
286,7
287,3
288,3
289,5
290,1
291,9
292,3
293,3
294,2
295,4
296,8
297,0
298,6
299,7
300,9
301,6
302,0
303,7
304,0
305,0
306,2
307,8
308,8
309,0
310,5
311,6
312,5
313,0
314,6
315,2
316,9
317,2
318,5
319,6
320,1
321,2
322,1
323,4
324,0
325,5
326,4
327,6
328,8
329,7
330,0
331,8
332,8
333,7
334,7
335,4
336,3
337,5
338,1
339,0
340,3
341,1
342,8
343,0
344,6
345,1
346,5
347,8
348,0
349,9
350,6
351,1
352,4
353,3
354,2
355,0
356,4
357,1
358,0
359,2
360,9
361,2
362,1
363,2
364,7
365,3
366,9
367,9
368,6
369,1
370,3
371,3
372,9
373,6
374,4
375,2
376,4
377,0
378,3
379,1
380,0
381,8
382,4
383,6
384,7
385,5
386,8
387,8
388,6
389,8
390,1
391,9
392,3
393,4
394,4
395,1
396,8
397,8
398,1
399,3
400,4
401,3
402,5
403,6
404,9
405,6
406,6
407,0
408,6
409,7
410,2
411,2
412,9
413,4
414,8
415,9
416,7
417,5
418,7
419,7
420,3
421,4
422,9
423,0
424,4
425,0
426,0
427,2
428,1
429,4
430,3
431,0
432,9
433,5
434,6
435,5
436,5
437,6
438,1
439,3
440,4
441,0
442,3
443,4
444,3
445,3
446,6
447,1
448,6
449,7
450,5
451,5
452,4
453,8
454,9
455,1
456,1
457,1
458,8
459,1
460,9
461,4
462,2
463,6
464,6
465,6
466,7
467,1
468,9
469,8
470,0
471,0
472,3
473,4
474,3
475,5
476,6
477,1
478,8
479,7
480,1
481,6
482,3
483,4
484,6
485,6
486,0
487,0
488,1
489,1
490,9
491,7
492,3
493,3
494,6
495,1
496,2
497,4
498,3
499,5
500,1
501,6
502,1
503,9
504,1
505,6
506,0
507,9
508,4
509,9
510,1
511,3
512,2
513,7
514,4
515,1
516,7
517,7
518,7
519,9
520,6
521,9
522,0
523,9
524,2
525,9
526,7
527,9
528,4
529,8
530,5
531,8
532,1
533,4
534,8
535,0
536,3
537,0
538,3
539,3
540,5
541,2
542,8
543,1
544,0
545,7
546,2
547,4
548,4
549,3
550,0
551,4
552,6
553,4
554,4
555,7
556,3
557,5
558,6
559,5
560,2
561,6
562,7
563,2
564,3
565,0
566,8
567,9
568,0
569,2
570,5
571,0
572,5
573,7
574,1
575,2
576,2
577,7
578,1
579,0
580,7
581,3
582,7
583,3
584,8
585,9
586,7
587,2
588,3
589,7
590,5
591,6
592,9
593,1
594,5
595,8
596,6
597,4
598,7
599,6
600,4
601,8
602,5
603,4
604,1
605,1
606,0
607,3
608,6
609,0
610,1
611,5
612,8
613,2
614,2
615,7
616,8
617,1
618,6
619,0
620,1
621,5
622,7
623,4
624,2
625,5
626,8
627,5
628,3
629,8
630,9
631,8
632,9
633,9
634,8
635,5
636,7
637,9
638,0
639,9
640,6
641,9
642,9
643,3
644,2
645,0
646,3
647,5
648,4
649,2
650,9
651,2
652,4
653,2
654,2
655,2
656,3
657,5
658,6
659,1
660,1
661,3
662,7
663,6
664,6
665,5
666,8
667,7
668,1
669,3
670,1
671,5
672,4
673,4
674,3
675,0
676,8
677,5
678,2
679,4
680,2
681,2
682,6
683,8
684,8
685,8
686,5
687,7
688,4
689,7
690,4
691,0
692,0
693,4
694,3
695,5
696,3
697,7
698,8
699,0
700,3
701,1
702,3
703,4
704,9
705,1
706,5
707,1
708,6
709,8
710,0
711,2
712,6
713,7
714,9
715,3
716,6
717,9
718,3
719,0
720,7
721,2
722,7
723,2
724,1
725,9
726,0
727,1
728,3
729,0
730,3
731,6
732,8
733,7
734,1
735,0
736,9
737,6
738,1
739,5
740,5
741,6
742,5
743,4
744,6
745,0
746,9
747,1
748,5
749,8
750,1
751,9
752,4
753,7
754,2
755,3
756,8
757,9
758,6
759,4
760,8
761,8
762,1
763,6
764,0
765,6
766,4
767,9
768,8
769,9
770,0
771,6
772,1
773,7
774,3
775,9
776,8
777,4
778,4
779,0
780,6
781,5
782,3
783,3
784,1
785,5
786,4
787,9
788,0
789,0
790,6
791,2
792,2
793,4
794,3
795,8
796,2
797,3
798,4
799,0
800,5
801,6
802,0
803,4
804,9
805,8
806,1
807,3
808,5
809,2
810,5
811,4
812,2
813,7
814,2
815,7
816,7
817,6
818,0
819,9
820,1
821,1
822,4
823,5
824,5
825,1
826,6
827,0
828,7
829,6
830,2
831,8
832,5
833,5
834,4
835,3
836,7
837,3
838,8
839,4
840,1
841,3
842,9
843,6
844,6
845,4
846,8
847,5
848,9
849,4
850,5
851,2
852,7
853,6
854,6
855,3
856,6
857,6
858,9
859,7
860,6
861,8
862,1
863,0
864,0
865,0
866,1
867,2
868,6
869,6
870,3
871,5
872,1
873,6
874,3
875,9
876,4
877,9
878,1
879,0
880,0
881,5
882,7
883,9
884,6
885,3
886,3
887,7
888,3
889,6
890,0
891,5
892,6
893,3
894,2
895,9
896,3
897,8
898,7
899,7
900,2
901,9
902,6
903,0
904,0
905,7
906,5
907,4
908,5
909,4
910,2
911,9
912,7
913,0
914,9
915,2
916,1
917,7
918,5
919,9
920,7
921,3
922,7
923,2
924,2
925,4
926,4
927,7
928,4
929,6
930,4
931,1
932,3
933,8
934,6
935,4
936,0
937,3
938,7
939,9
940,0
941,2
942,3
943,6
944,2
945,9
946,8
947,0
948,8
949,1
950,4
951,0
952,6
953,6
954,0
955,3
956,6
957,3
958,7
959,7
960,9
961,7
962,8
963,5
964,8
965,8
966,8
967,9
968,4
969,6
970,8
971,4
972,0
973,5
974,8
975,0
976,9
977,3
978,8
979,0
980,6
981,0
982,5
983,9
984,7
985,4
986,9
987,3
988,6
989,9
990,5
991,7
992,7
993,5
994,8
995,6
996,1
997,3
998,1
999,9
1000,6
1001,5
1002,3
1003,3
1004,9
1005,7
1006,1
1007,8
1008,3
1009,5
1010,0
1011,7
1012,8
1013,3
1014,8
1015,6
1016,1
1017,9
1018,1
1019,0
1020,7
1021,7
1022,1
1023,7
1024,5
1025,2
1026,6
1027,1
1028,6
1029,5
1030,6
1031,7
1032,1
1033,4
1034,7
1035,6
1036,7
1037,4
1038,3
1039,4
1040,9
1041,4
1042,1
1043,0
1044,4
1045,5
1046,8
1047,7
1048,4
1049,3
1050,7
1051,6
1052,1
1053,0
1054,0
1055,9
1056,2
1057,7
1058,1
1059,8
1060,9
1061,1
1062,5
1063,9
1064,5
1065,0
1066,2
1067,6
1068,2
1069,1
1070,7
1071,6
1072,3
1073,9
1074,3
1075,9
1076,6
1077,9
1078,6
1079,2
1080,5
1081,3
1082,4
1083,0
1084,5
1085,0
1086,4
1087,9
1088,6
1089,1
1090,9
1091,7
1092,1
1093,1
1094,6
1095,5
1096,4
1097,8
1098,3
1099,8
1100,6
1101,7
1102,3
1103,0
1104,4
1105,9
1106,1
1107,6
1108,1
1109,0
1110,2
1111,8
1112,2
1113,2
1114,7
1115,2
1116,3
1117,2
1118,3
1119,0
1120,3
1121,1
1122,6
1123,7
1124,5
1125,7
1126,7
1127,3
1128,2
1129,6
1130,5
1131,5
1132,5
1133,6
1134,2
1135,8
1136,6
1137,0
1138,0
1139,8
1140,7
1141,9
1142,8
1143,8
1144,2
1145,5
1146,8
1147,7
1148,0
1149,1
1150,6
1151,5
1152,2
1153,1
1154,3
1155,2
1156,2
1157,2
1158,2
